ID_Dirigeant,Nom_Dirigeant
1,Martin AJDARI
2, Nathalie B (SPANAGLE)
3, Marie-Pierre DE BAILLIENCOURT DIT COURCOL (RICHARTE)
4,Nathalie COLLIN (RIBES)
5, Bruno CREMEL
6, Gilles DENOYEL
7,MikaÃ«l
8, Yvon
9, Jean-Marie GIRARD
10, Boris DERICHEBOURG
11, gdpr-contact@eliorgroup.com
12,/
13,Nacera AGOSTINI (BERTHELOT)
14, Elisabeth AYRAULT (DAVANNE)
15, Cyrille DALLOIS
16,/
17,Jacques ASCHENBROICH
18, Monique COHEN (AYACHE)
19, Marion GUILLOU (CHARPIN)
20,Valerie BEAULIEU (JAMES)
21, Alexandre BOMPARD
22, Gilles GRAPINET
23,Camille BERTHAUD
24, dpofrance@compass-group.fr
25,Michel BIERO
26, Bruno
27, Serge CAILLET
28, Guillaume CALCOEN
29,Philippe LEROUGE (LEROUGE)
30, dpo.donneesperso@ogf.fr
31, https://www.pfg.fr/mentions-legales
32,Jacques DAMAS
33, Yohanna FRANCOIS
34, Dominique GABILLET
35,Franck
36, Jean-Louis ALEXANDRE
37, Jean-Yves
38, Pierre
39, Joseph CARILLET
40, Nicolas
41, Michel
42, Alexandre DENIS
43,/
44,Benoit
45, Marie
46, Bertrand SOURY
47,Jacques MIGNAULT
48,Beatrice DEBOSQUE
49, Damien DEBOSQUE
50, info.rgpd@api-restauration.com
51,Isabelle CHEVALIER
52, Marylene FAURE
53, Laurence HOEFFLING
54,/
55,PRICEWATERHOUSECOOPERS AUDIT SA
56, Cecile
57, Marie GUILLOU
58, dpo@picard.fr
